,Company Name,Price Per Share,Number of Shares,Quarterly Dividends Payout,Annual Dividend Payout,Annual Payout,Quarterly Payout,Reinvested Y1Q1 Shares,Reinvested Y1Q1 Dividends,Reinvested Y1Q2 Shares,Reinvested Y1Q2 Dividends,Reinvested Y1Q3 Shares,Reinvested Y1Q3 Dividends,Reinvested Y1Q4 Shares,Reinvested Y1Q4 Dividends,Reinvested Y2Q1 Shares,Reinvested Y2Q1 Dividends,Reinvested Y2Q2 Shares,Reinvested Y2Q2 Dividends,Reinvested Y2Q3 Shares,Reinvested Y2Q3 Dividends,Reinvested Y2Q4 Shares,Reinvested Y2Q4 Dividends,Reinvested Y3Q1 Shares,Reinvested Y3Q1 Dividends,Reinvested Y3Q2 Shares,Reinvested Y3Q2 Dividends,Reinvested Y3Q3 Shares,Reinvested Y3Q3 Dividends,Reinvested Y3Q4 Shares,Reinvested Y3Q4 Dividends,Reinvested Y4Q1 Shares,Reinvested Y4Q1 Dividends,Reinvested Y4Q2 Shares,Reinvested Y4Q2 Dividends,Reinvested Y4Q3 Shares,Reinvested Y4Q3 Dividends,Reinvested Y4Q4 Shares,Reinvested Y4Q4 Dividends,Reinvested Y5Q1 Shares,Reinvested Y5Q1 Dividends,Reinvested Y5Q2 Shares,Reinvested Y5Q2 Dividends,Reinvested Y5Q3 Shares,Reinvested Y5Q3 Dividends,Reinvested Y5Q4 Shares,Reinvested Y5Q4 Dividends,Reinvested Y6Q1 Shares,Reinvested Y6Q1 Dividends,Reinvested Y6Q2 Shares,Reinvested Y6Q2 Dividends,Reinvested Y6Q3 Shares,Reinvested Y6Q3 Dividends,Reinvested Y6Q4 Shares,Reinvested Y6Q4 Dividends,Reinvested Y7Q1 Shares,Reinvested Y7Q1 Dividends,Reinvested Y7Q2 Shares,Reinvested Y7Q2 Dividends,Reinvested Y7Q3 Shares,Reinvested Y7Q3 Dividends,Reinvested Y7Q4 Shares,Reinvested Y7Q4 Dividends,Reinvested Y8Q1 Shares,Reinvested Y8Q1 Dividends,Reinvested Y8Q2 Shares,Reinvested Y8Q2 Dividends,Reinvested Y8Q3 Shares,Reinvested Y8Q3 Dividends,Reinvested Y8Q4 Shares,Reinvested Y8Q4 Dividends,Reinvested Y9Q1 Shares,Reinvested Y9Q1 Dividends,Reinvested Y9Q2 Shares,Reinvested Y9Q2 Dividends,Reinvested Y9Q3 Shares,Reinvested Y9Q3 Dividends,Reinvested Y9Q4 Shares,Reinvested Y9Q4 Dividends,Reinvested Y10Q1 Shares,Reinvested Y10Q1 Dividends,Reinvested Y10Q2 Shares,Reinvested Y10Q2 Dividends,Reinvested Y10Q3 Shares,Reinvested Y10Q3 Dividends,Reinvested Y10Q4 Shares,Reinvested Y10Q4 Dividends
0,Lockheed Martin Corporation,491.11,40.724074036366595,122.17222210909978,488.6888884363991,12.0,3.0,40.97284156728451,122.91852470185353,41.22312872230447,122.91852470185353,41.473415877324435,123.66938616691343,41.7252319392391,124.4202476319733,41.97857690804848,125.1756958177173,42.233460123250204,125.93573072414544,42.48989092434191,126.7003803697506,42.74787870787258,127.46967277302572,43.007432927442586,128.24363612361773,43.26856309405214,129.02229878232777,43.531278776449824,129.80568928215644,43.79558960148323,130.59383632934947,44.06150525445171,131.38676880444967,44.32903547946128,132.18451576335514,44.59819007978169,132.98710643838385,44.868978918205634,133.79457023934506,45.14141191741018,134.6069367546169,45.41549906032036,135.42423575223054,45.69125039047497,136.24649718096106,45.968676012394624,137.0737511714249,46.247786091952,137.9060280371839,46.52859085674438,138.743358275856,46.811100596468386,139.58577257023313,47.09532566329707,140.43330178940516,47.38127647225922,141.2859769898912,47.66896350162106,142.14382941677766,47.95839729327013,143.00689050486318,48.249588453101666,143.8751918798104,48.542547651407155,144.748765359305,48.8372856232654,145.62764295422147,49.133813168935866,146.5118568697962,49.432141154254424,147.4014395068076,49.73228051103153,148.29642346276327,50.03424223745283,149.19684153309458,50.33803739848212,150.1027267123585,50.64367712626685,151.01411219544636,50.951172620546025,151.93103137880055,51.260535149060615,152.85351786163807,51.57177604796644,153.78160544718185,51.88490672224955,154.7153281438993
1,Cintas Corporation,458.675,43.60385894151632,50.144437782743765,200.57775113097506,4.6,1.15,43.71318349110534,50.27016101477114,43.82278214159811,50.27016101477114,43.93238079209088,50.39619946283782,44.04225423071919,50.52223791090451,44.15240245748303,50.64859236532706,44.26282616133723,50.775262826105475,44.37352603123663,50.90225008553781,44.48450275786341,51.02955493592212,44.59575703362712,51.15717817154292,44.707289552669025,51.28512058867119,44.819101010866376,51.41338298556938,44.93119210583682,51.54196616249633,45.04356353694271,51.67087092171234,45.1562160052955,51.800098067484114,45.269150213760064,51.92964840608982,45.382366866959146,52.05952274582407,45.495866671277724,52.18972189700301,45.60965033486742,52.32024667196938,45.72371856765091,52.451097885097525,45.83807208132639,52.582276352798544,45.95271158937195,52.71378289352534,46.0676378070501,52.84561832777774,46.182851451412176,52.97778347810761,46.298353241302856,53.110279169124,46.41414389736461,53.24310622749828,46.53022414204221,53.3762654819693,46.64659469958725,53.50975776334853,46.763256296062636,53.64358390452533,46.88020965934715,53.77774474047203,46.997455519139976,53.91224110824922,47.11499460696523,54.04707384701097,47.232827656176575,54.18224379801001,47.35095540196174,54.317751804603056,47.46937858134715,54.453598712255996,47.588097933202505,54.58978536854922,47.7071141982454,54.72631262318288,47.82642811904593,54.863181327982204,47.94604044003134,55.00039233690281,48.06595190749066,55.13794650603604,48.18616326957936,55.27584469361425
2,"Home Depot, Inc. (The)",322.0127,62.10935158768583,118.00776801660307,472.03107206641226,7.6,1.9,62.47582088537689,118.70405968221608,62.84445249426131,118.70405968221608,63.21308410314573,119.40445973909648,63.583890781699395,120.10485979597689,63.9568725299223,120.80939248522884,64.33204218157029,121.51805780685237,64.70941257039921,122.23088014498354,65.08899660588906,122.9478838837585,65.47080727324398,123.66909355118922,65.85485763383903,124.39453381916356,66.24116082566707,125.12422950429415,66.62973006378809,125.85820556876742,67.02057864078138,126.59648712119736,67.4137199272002,127.33909941748462,67.8091673720292,128.0860678616804,68.20693450314445,128.83741800685547,68.60703492777633,129.59317555597445,69.00948233297486,130.353366362775,69.41429048607806,131.1180164326522,69.82147323518284,131.88715192354832,70.23104450961874,132.66079914684738,70.64301832042449,133.4389845682756,71.05740876082723,134.22173480880653,71.4742300067247,135.00907664557172,71.89349631717013,135.8010370127769,72.31522203486007,136.59764300262324,72.73942158662503,137.39892186623413,73.16610948392297,138.20490101458753,73.59530032333578,139.01560801945362,74.02700878706858,139.83107061433796,74.461249643452,140.6513166954303,74.89803774744738,141.4763743225588,75.33738804115492,142.30627172015,75.7793155543249,143.14103727819435,76.22383540487176,143.9806995532173,76.67096279939135,144.82528726925634,77.12071303368104,145.67482931884356,77.57310149326305,146.52935476399398,78.02814365391073,147.3888928371998,78.485855082178,148.2534729424304
3,"United Parcel Service, Inc.",182.47,109.60705869457993,166.6027292157615,666.410916863046,6.08,1.52,110.52010045057139,167.9905526848685,111.44074796898465,167.9905526848685,112.36139548739791,169.38993691285668,113.28971212527185,170.78932114084483,114.22569788260645,172.2003624304132,115.16941664421337,173.6230607815618,116.12093229490424,175.05751329920432,117.08030925165988,176.50381708825444,118.04761246363037,177.96207006252303,119.02290741656796,179.43237094471817,120.00626013726023,180.9148192731833,120.99773719799998,182.40951540863554,121.99740572109219,183.91656054095998,123.00533338339811,185.43605669606015,124.02158842091694,186.96810674276512,125.04623963340538,188.51281439979374,126.07935638903531,190.07028424277618,127.12100862908999,191.64062171133367,128.171266872699,193.22393311621678,129.23020222161233,194.82032564650248,130.297886365014,196.42990737685074,131.37439158437527,198.05278727482127,132.4597907583481,199.68907520825042,133.55415736769896,201.33888195268912,134.65756550028343,203.00231919890243,135.77008985606193,204.6794995604308,136.89180575215678,206.37053658121414,138.02278912795123,208.07554474327833,139.1631165502304,209.79463947448588,140.3128652183648,211.52793715635022,141.47211296953677,213.2755551319145,142.6409382840099,215.0376117136959,143.81942029044217,216.81422619169507,145.00763877124282,218.6055188414721,146.20567416797365,220.4116109322891,147.41360758679477,222.23262473531994,148.6315208039555,224.06868353192806,149.85949627133058,225.91991162201236,151.097617122002,227.7864343324225,152.34596717588713,229.66837802544302
4,Target Corporation,157.385,127.0769133017759,137.243066365918,548.972265463672,4.32,1.08,127.94893456406848,138.18484932919398,128.82693976995972,138.18484932919398,129.70494497585096,139.1330949515565,130.5889751880793,140.08134057391905,131.47903040664474,141.03609320312566,132.37515197606447,141.99735283917633,133.27738124085576,142.96516413414963,134.18575982924824,143.93957174012422,135.10032965318396,144.92062061558812,136.0211329102643,145.90835602543868,136.94821208569675,146.90282354308545,137.88160995425528,147.9040690525525,138.82136958225382,148.91213875059572,139.7675343295334,149.92707914883414,140.72014785146263,150.94893707589608,141.67925410095208,151.97775967957963,142.64489733048208,153.01359442902825,143.6171220941446,154.05648911692066,144.59597324969894,155.10649186167618,145.58149596064138,156.16365110967487,146.57373569828903,157.2280156374927,147.57273824387784,158.29963455415216,148.5785496906749,159.37855730338808,149.59121644610514,160.4648336659289,150.61078523389259,161.55851376179356,151.63730309621616,162.659648052604,152.67081739588008,163.76828734391347,153.71137581849922,164.8844827875505,154.75902637469932,166.00828588397917,155.81381740233206,167.13974848467527,156.87579756870545,168.27892279451865,157.9450158728292,169.4258613742019,159.0215216476756,170.58061714265554,160.10536456245563,171.74324337948966,161.1965946249107,172.9137937274521,162.2952621836199,174.09232219490355,163.40141793032325,175.27888315830953,164.51511290226028,176.4735313647491,165.6363984845251,177.67632193444112,166.76532641243716,178.88731036328713
5,Texas Instruments Incorporated,177.67,112.56824449822706,139.58462317780155,558.3384927112062,4.96,1.24,113.35388429773064,140.558816529186,114.14500725900258,140.558816529186,114.93613022027452,141.5398090011632,115.73277461156829,142.5208014731404,116.53494043288387,143.50864051834466,117.34266621955773,144.503326136776,118.15599050692632,145.50490611225158,118.9749520992731,146.51342822858862,119.79959006982855,147.52894060309865,120.62994376264726,148.5514916865874,121.46605279448487,149.5811302656826,122.3079570566883,150.61790546516124,123.15569671709895,151.66186675029348,124.00931222196918,152.7130639292027,124.86884429789198,153.7715471552418,125.73433395374408,154.83736692938606,126.60582248264252,155.91057410264267,127.48335146391479,156.99121987847673,128.36696276508255,158.07935581525433,129.25669854385924,159.17503382870237,130.15260125016138,160.27830619438546,131.05471362813395,161.3892255502001,131.96307871818968,162.5078448988861,132.87773985906256,163.6342176105552,133.79874068987561,164.76839742523757,134.72612515222286,165.91043845544576,135.6599374922659,167.06039518875636,136.60022226284482,168.21832249040972,137.54702432560393,169.38427560592757,138.50038885313208,170.55831016374887,139.46036133111795,171.7404821778838,140.42698756052013,172.93084805058626,141.40031365975233,174.12946457504495,142.38038606688377,175.33638893809288,143.36725154185476,176.5516787229359,144.36095716870756,177.7753919118999,145.3615503578329,179.00758688919737,146.36907884823194,180.2483224437128,147.38359070979388,181.4976577718076,148.4051343455895,182.75565248014442
6,Clorox Company (The),148.775,134.43118803562427,158.62880188203664,634.5152075281466,4.72,1.18,135.49742095030777,159.88695672136316,136.57211062748044,159.88695672136316,137.6468003046531,161.15509054042693,138.73001381862002,162.42322435949066,139.82175116938117,163.7014163059716,140.92207996323748,164.9896663798698,142.03106780648983,166.28805435662022,143.14878284165448,167.596660011658,144.27529374746297,168.91556375315227,145.41066974311514,170.2448466220063,146.55498059253208,171.58459029687586,147.70829660864283,172.93487709918784,148.87068865770476,174.29578999819853,150.04222816365802,175.6674126160916,151.2229871125143,177.04982923311647,152.4130380567799,178.44312479276684,153.61245411991393,179.84738490700028,154.82130900082134,181.26269586149843,156.0396769783814,182.6891446209692,157.26763291601185,184.12681883449005,158.50525226626888,185.57580684089396,159.75261107548343,187.03619767419727,161.00978598843383,188.50808106907044,162.27685425305538,189.9915474663519,163.55389372518678,191.48668801860532,164.8409828733542,192.9935945957204,166.13820078359262,194.51235979055792,167.4456271643055,196.04307692463928,168.76334235116244,197.58584005388047,170.09142731203542,199.14074397437167,171.42996365197408,200.70788422820178,172.77903361821976,202.2873571093294,174.13872010525944,203.8792596694993,175.50910665991915,205.48368972420613,176.89027748649758,207.10074585870458,178.28231745194006,208.73052743406714,179.68531209105328,210.37313459328925,181.09934761176098,212.02866826744287,182.52451090040117,213.69723018187793,183.96088952706478,215.37892286247336
7,International Business Machines,147.6,135.50135501355015,223.57723577235774,894.308943089431,6.6,1.65,137.01610593341707,226.07657479013815,138.54779004446135,226.07657479013815,140.07947415550564,228.60385357336122,141.62828075153112,231.1311323565843,143.19420983253778,233.68666324002635,144.77745280841873,236.27044622368732,146.378201089067,238.8827971338909,147.99664822412046,241.52403179696054,149.63298990296167,244.19446956979874,151.2874239786378,246.89443333988675,152.96015049178067,249.62424956475238,154.65137169479388,252.38424831143809,156.36129207630768,255.17476329640988,158.09011838590396,257.99613192590766,159.83805965911472,260.8486953367415,161.60532724269697,263.73279843753926,163.39213482018707,266.64878995045,165.19869843773753,269.5970224533086,167.02523653023962,272.5778524222669,168.87196994773467,275.5916402748954,170.73912198211744,278.6387504137622,172.6269183941348,281.71955127049375,174.53558744068286,284.8344153503224,176.4653599024059,287.9837192771267,178.41646911160052,291.16784383896976,180.38915098042824,294.38717403414086,182.38364402944003,297.6420991177066,184.40018941641637,300.93301264857604,186.43903096552597,304.260312537087,188.50041519680704,307.62440109311785,190.5845913559745,311.0256850747316,192.6918114445567,314.4645757373579,194.82233025036535,317.9414888835185,196.97640537830247,321.4568449131028,199.15429728150778,325.01106887419905,201.35626929285058,328.6045905144878,203.58258765676987,332.23784433320344,205.83352156146637,335.91126963367026,208.10934317145058,339.6253105764195,210.41032766045072,343.3804162328934
8,JP Morgan Chase & Co.,131.72,151.83723048891588,151.83723048891588,607.3489219556635,4.0,1.0,152.9899577170431,152.9899577170431,154.1514362906617,152.9899577170431,155.31291486428032,154.1514362906617,156.48321122239344,155.31291486428032,157.6623253650011,156.48321122239344,158.85032423550211,157.6623253650011,160.0472747772953,158.85032423550211,161.25324444200456,160.0472747772953,162.46830118947872,161.25324444200456,163.69251349165003,162.46830118947872,164.9259503363925,163.69251349165003,166.16868123140958,164.9259503363925,167.4207762081511,166.16868123140958,168.68230582575973,167.4207762081511,169.95334117504723,168.68230582575973,171.2339538825006,169.95334117504723,172.52421611431845,171.2339538825006,173.82420058047774,172.52421611431845,175.1339805388312,173.82420058047774,176.45362979923567,175.1339805388312,177.78322272771146,176.45362979923567,179.12283425063308,177.78322272771146,180.47253985895156,179.12283425063308,181.8324156124486,180.47253985895156,183.2025381440228,181.8324156124486,184.582984664008,183.2025381440228,185.9738329645244,184.582984664008,187.37516142386247,185.9738329645244,188.78704901089955,187.37516142386247,190.2095752895502,188.78704901089955,191.6428204232497,190.2095752895502,193.0868651794716,191.6428204232497,194.54179093427913,193.0868651794716,196.007679676911,194.54179093427913,197.48461401440173,196.007679676911,198.97267717623677,197.48461401440173,200.47195301904273,198.97267717623677,201.98252603131297,200.47195301904273,203.50448133816874,201.98252603131297,205.03790470615624,203.50448133816874
9,Allstate Corporation (The),128.59,155.53308966482618,132.20312621510226,528.812504860409,3.4,0.85,156.56118769900536,133.07700954415455,157.59608162189326,133.07700954415455,158.63097554478117,133.95666937860926,159.6727102782644,134.83632921306398,160.72128582234296,135.72180373652472,161.7767473958442,136.61309294899152,162.83914021759546,137.51023528646758,163.90850980532753,138.41326918495614,164.9849019756748,139.3222333345284,166.06836284615096,140.23716667932356,167.1589388371248,141.1581084192283,168.25667667380904,142.08509801155608,169.3616233882624,143.01817517273767,170.47382632140446,143.957379880023,171.59333312504413,144.90275237319378,172.72019176392112,145.8543331562875,173.85445051776114,146.81216299933294,174.99615798334426,147.77628294009696,176.1453630765871,148.74673428584262,177.3021150346386,149.72355861509902,178.46646341798956,150.7067977794428,179.638458112596,151.69649390529113,180.81814933201656,152.6926893957066,182.00558761956384,153.69542693221408,183.20082385046993,154.70474947662927,184.40390923406608,155.72070027289945,185.6148953159768,156.74332284895615,186.83383398032828,157.7726610185803,188.06077745197132,158.80875888327904,189.29577829871897,159.85166083417562,190.53888943359863,160.90141155391112,191.79016411711922,161.95805601855884,193.04965595955298,163.02163949955133,194.3174189232325,164.09220756562001,195.59350732486266,165.16980608474762,196.8779758378477,166.25448122613327,198.17087949463388,167.34627946217054,199.47227368906712,168.4452475704388,200.78221417876648,169.55143263570704,202.10075708751293,170.6648820519515
